x,y,code,name
10.219458,2.3781164,E21B17,Placeholder
7.9860744,2.4135857,B67C7,Placeholder
9.541916,5.973651,G01F25,Placeholder
8.535689,3.7263722,B65D85,Placeholder
12.568245,8.291864,H05K9,Placeholder
11.105538,2.386648,F03D80,Placeholder
8.343729,1.8097348,A47L9,Placeholder
9.880469,7.632536,G06T17,Placeholder
11.18498,2.7887173,B63H21,Placeholder
7.6847625,1.2320153,B01D19,Placeholder
2.378977,4.2490764,C09B57,Placeholder
8.689194,7.3665767,G02B23,Placeholder
9.790686,6.1226716,G01L1,Placeholder
10.820379,4.76984,B62B9,Placeholder
8.006307,-1.4371963,F25B6,Placeholder
8.050041,5.6342654,A61C5,Placeholder
7.505766,4.6491113,B65H18,Placeholder
11.3820505,4.201191,B61F5,Placeholder
11.041282,8.852827,H04W84,Placeholder
12.980647,6.3572946,H01H51,Placeholder
5.1776366,2.710872,C25F3,Placeholder
8.3538475,2.6577504,B05B11,Placeholder
4.9093328,0.8548218,B01J37,Placeholder
10.514537,0.7142288,F04B45,Placeholder
10.037526,3.90499,E04C3,Placeholder
4.9354005,5.997983,A01G13,Placeholder
11.518185,4.217966,B62D55,Placeholder
12.366443,2.1452432,B60C7,Placeholder
5.291985,1.3684629,C25C1,Placeholder
7.8126664,-0.9368156,F24H4,Placeholder
10.426604,7.108377,A01K29,Placeholder
10.239872,6.3177814,G01H17,Placeholder
6.860106,2.533534,B23K9,Placeholder
8.298446,3.6304047,A47G21,Placeholder
4.1730933,3.5816119,C09D5,Placeholder
7.9814744,3.3803983,F41A21,Placeholder
4.841142,2.1867793,C01G19,Placeholder
12.6042595,6.1627846,H01R107,Placeholder
8.414721,4.310443,B65B5,Placeholder
6.9994717,0.6089971,A24B3,Placeholder
2.5005088,5.295604,A61K36,Placeholder
11.097747,4.0051203,B62D21,Placeholder
9.787926,3.943487,E04F21,Placeholder
10.481562,0.71463895,F02M59,Placeholder
7.0996475,-0.34902698,G01K13,Placeholder
3.4449594,3.1295564,C08L33,Placeholder
9.459636,6.090661,G01L27,Placeholder
7.191158,3.3466587,B29C69,Placeholder
10.345278,0.84945947,F04B35,Placeholder
9.151141,7.321866,F41G1,Placeholder
3.4908757,4.186824,C11D1,Placeholder
11.288232,6.267895,G08G1,Placeholder
6.7389965,1.3221723,F27D21,Placeholder
8.612089,7.554771,G01M11,Placeholder
6.838828,2.6061912,B23K103,Placeholder
